file_path,speaker,utt,label1,dataset
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/LibriSpeech/wav16/7241-90850-0013.wav,AdrianBisson,7241-90850-0013,bonafide,LibriSpeech
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/LibriSpeech/wav16/7241-90852-0056.wav,AdrianBisson,7241-90852-0056,bonafide,LibriSpeech
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/LibriSpeech/wav16/7241-90852-0014.wav,AdrianBisson,7241-90852-0014,bonafide,LibriSpeech
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/LibriSpeech/wav16/7241-90850-0034.wav,AdrianBisson,7241-90850-0034,bonafide,LibriSpeech
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/LibriSpeech/wav16/7241-90852-0032.wav,AdrianBisson,7241-90852-0032,bonafide,LibriSpeech
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/LibriSpeech/wav16/7241-90852-0057.wav,AdrianBisson,7241-90852-0057,bonafide,LibriSpeech
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/LibriSpeech/wav16/7241-90852-0043.wav,AdrianBisson,7241-90852-0043,bonafide,LibriSpeech
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/LibriSpeech/wav16/7241-90850-0007.wav,AdrianBisson,7241-90850-0007,bonafide,LibriSpeech
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/LibriSpeech/wav16/7241-90850-0025.wav,AdrianBisson,7241-90850-0025,bonafide,LibriSpeech
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/LibriSpeech/wav16/7241-90850-0038.wav,AdrianBisson,7241-90850-0038,bonafide,LibriSpeech
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/LibriSpeech/wav16/7241-90852-0009.wav,AdrianBisson,7241-90852-0009,bonafide,LibriSpeech
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/LibriSpeech/wav16/7241-90850-0018.wav,AdrianBisson,7241-90850-0018,bonafide,LibriSpeech
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/LibriSpeech/wav16/7241-90852-0039.wav,AdrianBisson,7241-90852-0039,bonafide,LibriSpeech
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/LibriSpeech/wav16/7241-90850-0011.wav,AdrianBisson,7241-90850-0011,bonafide,LibriSpeech
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/LibriSpeech/wav16/7241-90852-0025.wav,AdrianBisson,7241-90852-0025,bonafide,LibriSpeech
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/LibriSpeech/wav16/7241-90852-0045.wav,AdrianBisson,7241-90852-0045,bonafide,LibriSpeech
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/LibriSpeech/wav16/7241-90852-0059.wav,AdrianBisson,7241-90852-0059,bonafide,LibriSpeech
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/LibriSpeech/wav16/7241-90852-0067.wav,AdrianBisson,7241-90852-0067,bonafide,LibriSpeech
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/LibriSpeech/wav16/7241-90852-0055.wav,AdrianBisson,7241-90852-0055,bonafide,LibriSpeech
/nvme1/woongjae/ADD_LAB/Graduate-Project/00_Dataset_gen/Datasets/LibriSpeech/wav16/7241-90852-0024.wav,AdrianBisson,7241-90852-0024,bonafide,LibriSpeech
